Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
Tue Nov 15 2022,10:00p,San Antonio Spurs,110,Portland Trail Blazers,117,Box Score,,19012.0,Moda Center,
Tue Nov 15 2022,10:00p,Brooklyn Nets,121,Sacramento Kings,153,Box Score,,17611.0,Golden 1 Center,
Wed Nov 16 2022,7:00p,Indiana Pacers,125,Charlotte Hornets,113,Box Score,,14756.0,Spectrum Center,
Wed Nov 16 2022,7:00p,Minnesota Timberwolves,126,Orlando Magic,108,Box Score,,16527.0,Amway Center,
Wed Nov 16 2022,7:00p,Oklahoma City Thunder,121,Washington Wizards,120,Box Score,,12630.0,Capital One Arena,
Wed Nov 16 2022,7:30p,Boston Celtics,126,Atlanta Hawks,101,Box Score,,18165.0,State Farm Arena,
Wed Nov 16 2022,7:30p,Miami Heat,104,Toronto Raptors,112,Box Score,,19800.0,Scotiabank Arena,
Wed Nov 16 2022,8:00p,Cleveland Cavaliers,98,Milwaukee Bucks,113,Box Score,,17341.0,Fiserv Forum,
Wed Nov 16 2022,8:00p,Chicago Bulls,110,New Orleans Pelicans,124,Box Score,,14658.0,Smoothie King Center,
Wed Nov 16 2022,8:30p,Houston Rockets,101,Dallas Mavericks,92,Box Score,,19602.0,American Airlines Center,
Wed Nov 16 2022,10:00p,New York Knicks,106,Denver Nuggets,103,Box Score,,18210.0,Ball Arena,
Wed Nov 16 2022,10:00p,Golden State Warriors,119,Phoenix Suns,130,Box Score,,17071.0,Footprint Center,
Thu Nov 17 2022,10:00p,Brooklyn Nets,109,Portland Trail Blazers,107,Box Score,,19393.0,Moda Center,
Thu Nov 17 2022,10:00p,San Antonio Spurs,112,Sacramento Kings,130,Box Score,,16522.0,Golden 1 Center,
Thu Nov 17 2022,10:30p,Detroit Pistons,91,Los Angeles Clippers,96,Box Score,,17822.0,Crypto.com Arena,
Fri Nov 18 2022,7:00p,Miami Heat,106,Washington Wizards,107,Box Score,OT,18772.0,Capital One Arena,
Fri Nov 18 2022,7:30p,Charlotte Hornets,122,Cleveland Cavaliers,132,Box Score,2OT,19432.0,Rocket Mortgage Fieldhouse,
Fri Nov 18 2022,7:30p,Milwaukee Bucks,102,Philadelphia 76ers,110,Box Score,,19769.0,Wells Fargo Center,
Fri Nov 18 2022,8:00p,Orlando Magic,108,Chicago Bulls,107,Box Score,,21031.0,United Center,
